variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),-320.36534504093834,323.86959682196687,-0.9891800532825104,0.3225750558164243,RS.glm.M.21,n ~ `Sample Date` + Intertidal,667.0443201563672,191.51289782030267,272,192.62649752396553,274,4,1.7422746676400448e-4,15.170348579994652
`Sample Date`,0.01963460409244989,0.01985476776729033,0.9889112943842563,0.32270654408870997,RS.glm.M.21,n ~ `Sample Date` + Intertidal,667.0443201563672,191.51289782030267,272,192.62649752396553,274,4,1.7422746676400448e-4,15.170348579994652
IntertidalUpstream,-0.1580386616960901,0.36130698558819885,-0.4374082649932911,0.6618152912254895,RS.glm.M.21,n ~ `Sample Date` + Intertidal,667.0443201563672,191.51289782030267,272,192.62649752396553,274,4,1.7422746676400448e-4,15.170348579994652
(Intercept),-807.8362553014589,564.463318616701,-1.4311581083447167,0.1523849065935807,RS.glm.M.15,n ~ `Sample Date` * origin,667.7683521962083,191.84554843708375,271,194.2549844947745,274,5,1.2130956971628152e-4,15.894380619835715
`Sample Date`,0.04953044045055932,0.03461094418630473,1.4310629662093446,0.15241216990510328,RS.glm.M.15,n ~ `Sample Date` * origin,667.7683521962083,191.84554843708375,271,194.2549844947745,274,5,1.2130956971628152e-4,15.894380619835715
originHatchery,630.0159757497187,715.7074030207544,0.8802703075176228,0.3787128938342359,RS.glm.M.15,n ~ `Sample Date` * origin,667.7683521962083,191.84554843708375,271,194.2549844947745,274,5,1.2130956971628152e-4,15.894380619835715
`Sample Date`:originHatchery,-0.038640956141410776,0.04387964660262193,-0.8806122914194544,0.3785277035480119,RS.glm.M.15,n ~ `Sample Date` * origin,667.7683521962083,191.84554843708375,271,194.2549844947745,274,5,1.2130956971628152e-4,15.894380619835715
(Intercept),-0.023487676382861877,0.22004484076026812,-0.10674040937161056,0.9149949236776916,RS.glm.M.23,n ~ Intertidal + origin,667.7800713983302,191.3996482237186,272,191.7730810914013,274,4,1.2060082254859567e-4,15.906099821957582
IntertidalUpstream,-0.1265396938375549,0.3627974210757997,-0.3487888460241199,0.7272478377830813,RS.glm.M.23,n ~ Intertidal + origin,667.7800713983302,191.3996482237186,272,191.7730810914013,274,4,1.2060082254859567e-4,15.906099821957582
originHatchery,-0.11413942715154879,0.2801234415530274,-0.4074611768252968,0.6836693027439951,RS.glm.M.23,n ~ Intertidal + origin,667.7800713983302,191.3996482237186,272,191.7730810914013,274,4,1.2060082254859567e-4,15.906099821957582
(Intercept),-410.9235939547145,350.287875574368,-1.1731025325410476,0.24075469105481526,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,668.4757596420164,191.70522679885482,271,193.3949015459516,274,5,8.516938028344438e-5,16.60178806564386
`Sample Date`,0.02519360782511396,0.021478456893091344,1.172971035606269,0.24080742105414915,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,668.4757596420164,191.70522679885482,271,193.3949015459516,274,5,8.516938028344438e-5,16.60178806564386
IntertidalUpstream,-0.06179925977387829,0.3618237779551151,-0.17079933254564766,0.8643815539138706,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,668.4757596420164,191.70522679885482,271,193.3949015459516,274,5,8.516938028344438e-5,16.60178806564386
originHatchery,-0.23259685319487422,0.3024910177650366,-0.7689380495110982,0.4419300880778801,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,668.4757596420164,191.70522679885482,271,193.3949015459516,274,5,8.516938028344438e-5,16.60178806564386
