Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2,Posterior Parent 1,Posterior Parent 2
PH15_00126,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00127,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00128,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00129,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00130,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00131,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00132,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00133,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00134,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00135,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00136,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00138,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00139,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00140,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00142,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00143,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00144,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00146,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00147,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
